model,seq_len,traffic,latency,energy,util_2d,util_1d,QK,LM,SLN,SLD,SLNV
BERT,1K,402653184,0.005987131914893616,1950645149855.2659,0.2991266375545852,0.3362445414847162,0.13973799126637557,0.0021834061135371182,0.015283842794759826,0.0021834061135371182,0.13973799126637557
BERT,4K,1610612736,0.09579411063829786,30897520074119.223,0.2991266375545852,0.3100436681222708,0.13973799126637557,0.0021834061135371182,0.015283842794759826,0.0021834061135371182,0.13973799126637557
BERT,16K,6442450944,1.5327057702127658,493109111891647.44,0.2991266375545852,0.3034934497816595,0.13973799126637557,0.0021834061135371182,0.015283842794759826,0.0021834061135371182,0.13973799126637557
BERT,64K,38654705664,24.523292323404252,7885539507510327.0,0.2991266375545852,0.30185589519650663,0.13973799126637557,0.0021834061135371182,0.015283842794759826,0.0021834061135371182,0.13973799126637557
BERT,256K,463856467968,392.37267717446804,1.2658834632312842e+17,0.2991266375545852,0.3014465065502184,0.13973799126637557,0.0021834061135371182,0.015283842794759826,0.0021834061135371182,0.13973799126637557
BERT,1M,6803228196864,6277.962834791489,2.0288129992244227e+18,0.2991266375545852,0.30134415938864634,0.13973799126637557,0.0021834061135371182,0.015283842794759826,0.0021834061135371182,0.13973799126637557
TrXL,1K,536870912,0.00798284255319149,2600860199807.0215,0.29912663755458513,0.33624454148471616,0.13973799126637554,0.002183406113537118,0.015283842794759825,0.002183406113537118,0.13973799126637554
TrXL,4K,2147483648,0.12772548085106383,41196693432158.97,0.29912663755458513,0.3100436681222707,0.13973799126637554,0.002183406113537118,0.015283842794759825,0.002183406113537118,0.13973799126637554
TrXL,16K,8589934592,2.0436076936170213,657478815855530.0,0.29912663755458513,0.3034934497816594,0.13973799126637554,0.002183406113537118,0.015283842794759825,0.002183406113537118,0.13973799126637554
TrXL,64K,51539607552,32.69772309787234,1.051405277467884e+16,0.29912663755458513,0.3018558951965066,0.13973799126637554,0.002183406113537118,0.015283842794759825,0.002183406113537118,0.13973799126637554
TrXL,256K,618475290624,523.1635695659575,1.6907122942191104e+17,0.29912663755458513,0.3014465065502183,0.13973799126637554,0.002183406113537118,0.015283842794759825,0.002183406113537118,0.13973799126637554
TrXL,1M,9070970929152,8370.61711305532,2.705083998965897e+18,0.29912663755458513,0.3013441593886463,0.13973799126637554,0.002183406113537118,0.015283842794759825,0.002183406113537118,0.13973799126637554
T5,1K,268435456,0.003991421276595745,1300430099903.5107,0.29912663755458513,0.33624454148471616,0.13973799126637554,0.002183406113537118,0.015283842794759825,0.002183406113537118,0.13973799126637554
T5,4K,1073741824,0.06386274042553192,20598346716079.484,0.29912663755458513,0.3100436681222707,0.13973799126637554,0.002183406113537118,0.015283842794759825,0.002183406113537118,0.13973799126637554
T5,16K,4294967296,1.0218038468085107,328739407927765.0,0.29912663755458513,0.3034934497816594,0.13973799126637554,0.002183406113537118,0.015283842794759825,0.002183406113537118,0.13973799126637554
T5,64K,25769803776,16.34886154893617,5257026387339420.0,0.29912663755458513,0.3018558951965066,0.13973799126637554,0.002183406113537118,0.015283842794759825,0.002183406113537118,0.13973799126637554
T5,256K,309237645312,261.58178478297873,8.453561471095552e+16,0.29912663755458513,0.3014465065502183,0.13973799126637554,0.002183406113537118,0.015283842794759825,0.002183406113537118,0.13973799126637554
T5,1M,4535485464576,4185.30855652766,1.3525419994829486e+18,0.29912663755458513,0.3013441593886463,0.13973799126637554,0.002183406113537118,0.015283842794759825,0.002183406113537118,0.13973799126637554
XLM,1K,1073741824,0.01132936170212766,5071622554596.864,0.4076923076923077,0.45846153846153853,0.19692307692307692,0.0015384615384615385,0.010769230769230769,0.0015384615384615385,0.19692307692307692
XLM,4K,4294967296,0.18126978723404255,80312436464956.78,0.4076923076923077,0.4215384615384616,0.19692307692307692,0.0015384615384615385,0.010769230769230769,0.0015384615384615385,0.19692307692307692
XLM,16K,17179869184,2.900316595744681,1281664885804936.2,0.4076923076923077,0.4123076923076924,0.19692307692307692,0.0015384615384615385,0.010769230769230769,0.0015384615384615385,0.19692307692307692
XLM,64K,171798691840,46.40506553191489,2.0499689335723932e+16,0.4076923076923077,0.4100000000000001,0.19692307692307692,0.0015384615384615385,0.010769230769230769,0.0015384615384615385,0.19692307692307692
XLM,256K,2336462209024,742.4810485106383,3.296878387934206e+17,0.4076923076923077,0.40942307692307695,0.19692307692307692,0.0015384615384615385,0.010769230769230769,0.0015384615384615385,0.19692307692307692
XLM,1M,35734127902720,11879.696776170213,5.274894234596324e+18,0.4076923076923077,0.4092788461538462,0.19692307692307692,0.0015384615384615385,0.010769230769230769,0.0015384615384615385,0.19692307692307692
