model,seq_len,traffic,latency,energy,util_2d,util_1d,QK,AV
BERT,1K,1308622848,0.013386076595744681,2485218884940.979,0.125,1.0,0.0625,0.0625
BERT,4K,21128367461.209305,0.2141772255319149,39765687018872.76,0.125,1.0,0.0625,0.0625
BERT,16K,333222041171.3489,3.4268356085106384,636085216232870.2,0.125,1.0,0.0625,0.0625
BERT,64K,5312225305909.582,54.829369736170214,1.048440634714915e+16,0.125,1.0,0.0625,0.0625
BERT,256K,435458144206848,1013.8800000000001,1.6711296226628083e+17,0.1081575131892733,0.8652601055141864,0.05407875659463665,0.05407875659463665
BERT,1M,6966711832018944,16220.64,2.752475381520452e+18,0.10816711495708227,0.8653369196566582,0.054083557478541135,0.054083557478541135
TrXL,1K,1744830464,0.017848102127659575,3313625179921.3057,0.125,1.0,0.0625,0.0625
TrXL,4K,28171156614.94574,0.2855696340425532,53020916025163.68,0.125,1.0,0.0625,0.0625
TrXL,16K,444296054895.13184,4.569114144680851,848113621643827.1,0.125,1.0,0.0625,0.0625
TrXL,64K,7082967074546.109,73.10582631489362,1.3979208462865534e+16,0.125,1.0,0.0625,0.0625
TrXL,256K,580610858942464,1351.8400000000001,2.2937479978719744e+17,0.1081575131892733,0.8652601055141864,0.05407875659463665,0.05407875659463665
TrXL,1M,9288949109358592,21627.52,3.669967175360603e+18,0.10816711495708226,0.865336919656658,0.05408355747854113,0.05408355747854113
T5,1K,872415232,0.008924051063829787,1656812589960.6528,0.125,1.0,0.0625,0.0625
T5,4K,14085578307.47287,0.1427848170212766,26510458012581.84,0.125,1.0,0.0625,0.0625
T5,16K,222148027447.56592,2.2845570723404256,424056810821913.56,0.125,1.0,0.0625,0.0625
T5,64K,3541483537273.0547,36.55291315744681,6989604231432767.0,0.125,1.0,0.0625,0.0625
T5,256K,290305429471232,675.9200000000001,1.1140864151085389e+17,0.1081575131892733,0.8652601055141864,0.05407875659463665,0.05407875659463665
T5,1M,4644474554679296,10813.76,1.8349835876803016e+18,0.10816711495708226,0.865336919656658,0.05408355747854113,0.05408355747854113
XLM,1K,2684354560,0.017848102127659575,5766243820956.013,0.25,1.0,0.125,0.125
XLM,4K,54237627917.03273,0.2855696340425532,92436594622283.17,0.25,1.0,0.125,0.125
XLM,16K,667973563909.8403,4.569114144680851,1472048902463645.2,0.25,1.0,0.125,0.125
XLM,64K,9845122265151.012,73.10582631489362,2.3934419276958188e+16,0.25,1.0,0.125,0.125
XLM,256K,598271764463616,1392.96,3.8967079987132646e+17,0.2099294346281117,0.8397177385124468,0.10496471731405585,0.10496471731405585
XLM,1M,9570698963976192,22283.52,6.234674836606557e+18,0.20996561064648636,0.8398624425859454,0.10498280532324318,0.10498280532324318
