model,seq_len,traffic,latency,energy,util_2d,util_1d
BERT,1K,6845104128,0.02182357659574468,2605316883383.9917,0.0766721058359586,0.6133768466876688
BERT,4K,104689827840,0.3379272255319149,41395048375535.27,0.07922461159898736,0.6337968927918989
BERT,16K,1655709892608,5.3618356085106385,661160686974129.9,0.07988951589338528,0.6391161271470822
BERT,64K,26414048870400,85.60936973617021,1.0573930656038198e+16,0.0800574894797477,0.6404599158379816
BERT,256K,422367083888640,1369.1499157787234,1.6916866486998128e+17,0.08009257292322913,0.6407405833858331
BERT,1M,6758904134369280,21908.798652459576,2.7855053672358973e+18,0.08008379917994612,0.640670393439569
TrXL,1K,9126805504,0.029098102127659575,3473755844511.9897,0.0766721058359586,0.6133768466876688
TrXL,4K,139586437120,0.45056963404255324,55193397834047.03,0.07922461159898735,0.6337968927918988
TrXL,16K,2207613190144,7.149114144680851,881547582632173.2,0.07988951589338528,0.6391161271470822
TrXL,64K,35218731827200,114.14582631489361,1.4098574208050932e+16,0.0800574894797477,0.6404599158379816
TrXL,256K,563156111851520,1825.533221038298,2.3211573659213133e+17,0.08009257292322912,0.640740583385833
TrXL,1M,9011872179159040,29211.731536612766,3.71400715631453e+18,0.08008379917994612,0.640670393439569
T5,1K,4563402752,0.014549051063829787,1736877922255.9949,0.0766721058359586,0.6133768466876688
T5,4K,69793218560,0.22528481702127662,27596698917023.516,0.07922461159898735,0.6337968927918988
T5,16K,1103806595072,3.5745570723404256,440773791316086.6,0.07988951589338528,0.6391161271470822
T5,64K,17609365913600,57.072913157446806,7049287104025466.0,0.0800574894797477,0.6404599158379816
T5,256K,281578055925760,912.766610519149,1.1277910991332083e+17,0.08009257292322912,0.640740583385833
T5,1M,4505936089579520,14605.865768306383,1.857003578157265e+18,0.08008379917994612,0.640670393439569
XLM,1K,9663676416,0.030348102127659576,5993103247725.494,0.1470281572516575,0.58811262900663
XLM,4K,141733920768,0.45556963404255324,95121268186207.48,0.1567102001007595,0.626840800403038
XLM,16K,2216203124736,7.169114144680851,1518866755869718.2,0.15933328903930624,0.637333156157225
XLM,64K,35253091565568,114.22582631489362,2.428957397026356e+16,0.16000283971104337,0.6400113588441735
XLM,256K,563637148188672,1826.653221038298,3.951762098553212e+17,0.16008692941365005,0.6403477176546002
XLM,1M,9016545103577088,29222.611536612767,6.322761395947598e+18,0.16010796565157073,0.6404318626062829
