model,seq_len,traffic,latency,energy
BERT,1K,1826095104,0.0075296680851063835,8405222685905.118
BERT,4K,7261913088,0.030118672340425534,33617318182589.355
BERT,16K,29005185024,0.12047468936170214,134465700169326.3
BERT,64K,115978272768,0.48189875744680855,537859228116274.06
BERT,256K,463870623744,1.9275950297872342,2151433339904065.2
BERT,1M,1855440027648,7.710380119148937,8605729787055230.0
TrXL,1K,2441084928,0.013386076595744683,14896182158086.604
TrXL,4K,9688842240,0.05354430638297873,59578377412735.53
TrXL,16K,38679871488,0.21417722553191493,238307158431331.25
TrXL,64K,154643988480,0.8567089021276597,953222282505714.1
TrXL,256K,618500456448,3.426835608510639,3812882778803246.0
TrXL,1M,2473926328320,13.707342434042555,1.5251524763993372e+16
T5,1K,1214251008,0.003485895578457447,3758872502163.522
T5,4K,4838129664,0.013928933876329787,15033902203751.367
T5,16K,19333644288,0.05570108706781915,60134021010102.75
T5,64K,77315702784,0.22278969983377658,240534496235508.28
T5,256K,309243936768,0.8911441508976063,962136397137130.5
T5,1M,1236956872704,3.564561955152926,3848544000743619.0
XLM,1K,7549747200,0.05354430638297873,59526288544388.55
XLM,4K,30098325504,0.21417722553191493,238096685884739.7
XLM,16K,120292638720,0.8567089021276597,952378275246144.2
XLM,64K,481069891584,3.426835608510639,3809504632691762.5
XLM,256K,1924178903040,13.707342434042555,1.5238010062474234e+16
XLM,1M,7696614948864,54.82936973617022,6.095203178160413e+16
