model,seq_len,traffic,latency,energy
BERT,1K,1826095104,0.0075296680851063835,8224288923658.001
BERT,4K,7261913088,0.030118672340425534,32894524224852.723
BERT,16K,29005185024,0.12047468936170214,131575465429631.6
BERT,64K,115978272768,0.48189875744680855,526299230248747.1
BERT,256K,463870623744,1.9275950297872342,2105194289525209.2
BERT,1M,1855440027648,7.710380119148937,8420774526631057.0
TrXL,1K,2441084928,0.013386076595744683,14583445076363.752
TrXL,4K,9688842240,0.05354430638297873,58329102136958.51
TrXL,16K,38679871488,0.21417722553191493,233311730379337.53
TrXL,64K,154643988480,0.8567089021276597,933242243348853.6
TrXL,256K,618500456448,3.426835608510639,3732964295226918.0
TrXL,1M,2473926328320,13.707342434042555,1.4931852502739174e+16
T5,1K,1214251008,0.003485895578457447,3673996026695.4575
T5,4K,4838129664,0.013928933876329787,14694814564657.705
T5,16K,19333644288,0.05570108706781915,58778088716506.69
T5,64K,77315702784,0.22278969983377658,235111185323902.62
T5,256K,309243936768,0.8911441508976063,940443571753486.4
T5,1M,1236956872704,3.564561955152926,3761773117471821.5
XLM,1K,10234101760,0.05354430638297873,58437213632373.414
XLM,4K,40835743744,0.21417722553191493,233742616971498.3
XLM,16K,163242311680,0.8567089021276597,934964230327998.0
XLM,64K,652868583424,3.426835608510639,3739850683753996.5
XLM,256K,2611373670400,13.707342434042555,1.495939649745799e+16
XLM,1M,10445394018304,54.82936973617022,5.983757975227397e+16
