model,seq_len,traffic,latency,energy,util_2d,util_1d,QK,SLNV
BERT,1K,402653184,0.015333855319148937,2241395704198.6035,0.10912190963341858,1.0,0.05456095481670929,0.05456095481670929
BERT,4K,1610612736,0.24283179574468086,35440720067095.01,0.11024978466838932,1.0,0.05512489233419466,0.05512489233419466
BERT,16K,9663676416,3.8752691744680856,565636061643253.6,0.11053540587219343,1.0,0.055267702936096716,0.055267702936096716
BERT,64K,115964116992,61.96414856170213,9046683031531504.0,0.11060704255778786,1.0,0.05530352127889393,0.05530352127889393
BERT,256K,1700807049216,991.2657440680852,1.545694801590312e+17,0.1106249662399395,1.0,0.05531248311996975,0.05531248311996975
BERT,1M,26594437496832,15859.609373412768,2.492732321515212e+18,0.11062944806817107,1.0,0.055314724034085536,0.055314724034085536
TrXL,1K,536870912,0.020445140425531912,2988527605598.138,0.1091219096334186,1.0,0.0545609548167093,0.0545609548167093
TrXL,4K,2147483648,0.32377572765957446,47254293422793.34,0.11024978466838932,1.0,0.05512489233419466,0.05512489233419466
TrXL,16K,12884901888,5.167025565957446,754181415524338.2,0.11053540587219346,1.0,0.05526770293609673,0.05526770293609673
TrXL,64K,154618822656,82.61886474893616,1.2062244042042008e+16,0.11060704255778787,1.0,0.05530352127889394,0.05530352127889394
TrXL,256K,2267742732288,1321.6876587574468,2.0609264021204163e+17,0.1106249662399395,1.0,0.05531248311996975,0.05531248311996975
TrXL,1M,35459249995776,21146.145831217018,3.3236430953536164e+18,0.1106294480681711,1.0,0.05531472403408555,0.05531472403408555
T5,1K,268435456,0.010222570212765956,1494263802799.069,0.1091219096334186,1.0,0.0545609548167093,0.0545609548167093
T5,4K,1073741824,0.16188786382978723,23627146711396.67,0.11024978466838932,1.0,0.05512489233419466,0.05512489233419466
T5,16K,6442450944,2.583512782978723,377090707762169.1,0.11053540587219346,1.0,0.05526770293609673,0.05526770293609673
T5,64K,77309411328,41.30943237446808,6031122021021004.0,0.11060704255778787,1.0,0.05530352127889394,0.05530352127889394
T5,256K,1133871366144,660.8438293787234,1.0304632010602082e+17,0.1106249662399395,1.0,0.05531248311996975,0.05531248311996975
T5,1M,17729624997888,10573.072915608509,1.6618215476768082e+18,0.1106294480681711,1.0,0.05531472403408555,0.05531472403408555
XLM,1K,1073741824,0.022955029787234044,5529701064582.377,0.19438116932422173,1.0,0.09719058466211086,0.09719058466211086
XLM,4K,4294967296,0.3605874382978724,87352093097746.81,0.1979891724671307,1.0,0.09899458623356534,0.09899458623356534
XLM,16K,25769803776,5.742626859574469,1393863621475168.5,0.19891219891219888,1.0,0.09945609945609944,0.09945609945609944
XLM,64K,309237645312,91.77494114042554,2.229251949247561e+16,0.19914430182808246,1.0,0.09957215091404123,0.09957215091404123
XLM,256K,4535485464576,1467.9707037957448,3.730379117476741e+17,0.19920241221671042,1.0,0.09960120610835521,0.09960120610835521
XLM,1M,70918499991552,23485.817842927663,5.968457812744752e+18,0.19921694511320248,1.0,0.09960847255660124,0.09960847255660124
