model,seq_len,traffic,latency,energy,util_2d,util_1d,QK,LM,SLN,SLD,SLNV
BERT,1K,402653184,0.002013140425531915,1950645149855.2659,0.8896103896103895,1.0,0.4155844155844156,0.006493506493506494,0.045454545454545456,0.006493506493506494,0.4155844155844156
BERT,4K,1610612736,0.02970035744680851,30897520074119.223,0.9647887323943661,1.0000000000000002,0.4507042253521127,0.007042253521126761,0.04929577464788732,0.007042253521126761,0.4507042253521127
BERT,16K,6442450944,0.46516616170212766,493109111891647.44,0.9856115107913668,1.0000000000000002,0.460431654676259,0.007194244604316547,0.050359712230215826,0.007194244604316547,0.460431654676259
BERT,64K,38654705664,7.402500357446808,7885539507510327.0,0.9909584086799277,1.0000000000000002,0.4629294755877035,0.007233273056057867,0.05063291139240506,0.007233273056057867,0.4629294755877035
BERT,256K,463856467968,118.2793728,1.2658834632312842e+17,0.9923042100497962,1.0,0.463558171118153,0.007243096423721141,0.05070167496604798,0.007243096423721141,0.463558171118153
BERT,1M,6803228196864,1891.8274331234043,2.0288129992244227e+18,0.9926412317445941,1.0000000000000002,0.4637156119098834,0.007245556436091928,0.050718895052643494,0.007245556436091928,0.4637156119098834
TrXL,1K,536870912,0.0026841872340425533,2600860199807.0215,0.8896103896103896,1.0,0.41558441558441556,0.006493506493506493,0.04545454545454545,0.006493506493506493,0.41558441558441556
TrXL,4K,2147483648,0.039600476595744685,41196693432158.97,0.9647887323943661,0.9999999999999998,0.45070422535211263,0.00704225352112676,0.049295774647887314,0.00704225352112676,0.45070422535211263
TrXL,16K,8589934592,0.6202215489361702,657478815855530.0,0.985611510791367,1.0,0.460431654676259,0.007194244604316547,0.050359712230215826,0.007194244604316547,0.460431654676259
TrXL,64K,51539607552,9.870000476595745,1.051405277467884e+16,0.9909584086799277,1.0,0.4629294755877034,0.007233273056057866,0.05063291139240506,0.007233273056057866,0.4629294755877034
TrXL,256K,618475290624,157.7058304,1.6907122942191104e+17,0.9923042100497963,1.0,0.46355817111815306,0.007243096423721142,0.05070167496604799,0.007243096423721142,0.46355817111815306
TrXL,1M,9070970929152,2522.4365774978723,2.705083998965897e+18,0.9926412317445942,1.0,0.4637156119098834,0.007245556436091928,0.050718895052643494,0.007245556436091928,0.4637156119098834
T5,1K,268435456,0.0013420936170212767,1300430099903.5107,0.8896103896103896,1.0,0.41558441558441556,0.006493506493506493,0.04545454545454545,0.006493506493506493,0.41558441558441556
T5,4K,1073741824,0.019800238297872343,20598346716079.484,0.9647887323943661,0.9999999999999998,0.45070422535211263,0.00704225352112676,0.049295774647887314,0.00704225352112676,0.45070422535211263
T5,16K,4294967296,0.3101107744680851,328739407927765.0,0.985611510791367,1.0,0.460431654676259,0.007194244604316547,0.050359712230215826,0.007194244604316547,0.460431654676259
T5,64K,25769803776,4.935000238297873,5257026387339420.0,0.9909584086799277,1.0,0.4629294755877034,0.007233273056057866,0.05063291139240506,0.007233273056057866,0.4629294755877034
T5,256K,309237645312,78.8529152,8.453561471095552e+16,0.9923042100497963,1.0,0.46355817111815306,0.007243096423721142,0.05070167496604799,0.007243096423721142,0.46355817111815306
T5,1M,4535485464576,1261.2182887489362,1.3525419994829486e+18,0.9926412317445942,1.0,0.4637156119098834,0.007245556436091928,0.050718895052643494,0.007245556436091928,0.4637156119098834
XLM,1K,1073741824,0.005194076595744681,5071622554596.864,0.889261744966443,1.0000000000000002,0.4295302013422819,0.0033557046979865775,0.02348993288590604,0.0033557046979865775,0.4295302013422819
XLM,4K,4294967296,0.07641218723404256,80312436464956.78,0.9671532846715328,1.0,0.46715328467153283,0.0036496350364963502,0.025547445255474453,0.0036496350364963502,0.46715328467153283
XLM,16K,17179869184,1.1958228425531914,1281664885804936.2,0.9888059701492539,1.0000000000000002,0.4776119402985075,0.00373134328358209,0.02611940298507463,0.00373134328358209,0.4776119402985075
XLM,64K,171798691840,19.026076868085106,2.0499689335723932e+16,0.9943714821763603,1.0000000000000002,0.48030018761726084,0.0037523452157598503,0.02626641651031895,0.0037523452157598503,0.48030018761726084
XLM,256K,2336462209024,303.9888754382979,3.296878387934206e+17,0.99577266322217,1.0,0.4809769844997651,0.003757632691404415,0.026303428839830903,0.003757632691404415,0.4809769844997651
XLM,1M,35734127902720,4862.10858920851,5.274894234596324e+18,0.9961235757077412,1.0000000000000002,0.48114648185128633,0.0037589568894631745,0.02631269822624222,0.0037589568894631745,0.48114648185128633
