model,seq_len,traffic,latency,energy
BERT,1K,1826095104,0.0075296680851063835,8405303925584.939
BERT,4K,7261913088,0.030118672340425534,33617643141308.637
BERT,16K,29005185024,0.12047468936170214,134467000004203.44
BERT,64K,115978272768,0.48189875744680855,537864427455782.6
BERT,256K,463870623744,1.9275950297872342,2151454137262099.2
BERT,1M,1855440027648,7.710380119148937,8605812976487366.0
TrXL,1K,2441084928,0.013386076595744683,14896326590478.725
TrXL,4K,9688842240,0.05354430638297873,59578955142304.02
TrXL,16K,38679871488,0.21417722553191493,238309469349605.22
TrXL,64K,154643988480,0.8567089021276597,953231526178810.0
TrXL,256K,618500456448,3.426835608510639,3812919753495629.0
TrXL,1M,2473926328320,13.707342434042555,1.5251672662762906e+16
T5,1K,1214251008,0.003485895578457447,3758908605540.555
T5,4K,4838129664,0.013928933876329787,15034046617259.5
T5,16K,19333644288,0.05570108706781915,60134598664135.28
T5,64K,77315702784,0.22278969983377658,240536806851638.4
T5,256K,309243936768,0.8911441508976063,962145639601651.0
T5,1M,1236956872704,3.564561955152926,3848580970601701.0
XLM,1K,7549747200,0.05354430638297873,59526866311725.016
XLM,4K,30098325504,0.21417722553191493,238098996954085.56
XLM,16K,120292638720,0.8567089021276597,952387519523527.8
XLM,64K,481069891584,3.426835608510639,3809541609801296.5
XLM,256K,1924178903040,13.707342434042555,1.523815797091237e+16
XLM,1M,7696614948864,54.82936973617022,6.095262341535667e+16
